danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track.name,user
0.612,0.725,2,-6.367,1,0.159,0.203,0,0.111,0.372,152.857,6xtrDPyrkb0TGehCWrAyol,163688,4,Haven,Erica
0.34,0.823,4,-7.181,1,0.0455,0.0854,0.668,0.141,0.0389,119.972,7JXVPV3BIeuDs7JImsuN9P,246405,4,Hopeful,Erica
0.534,0.761,0,-4.343,1,0.0386,0.00664,0,0.525,0.554,160.184,5VahNEYKPpQ65vXYipahyJ,155261,4,F U Anthem,Erica
0.738,0.617,9,-6.595,0,0.0313,0.111,0.783,0.109,0.343,123.987,0xgfpmTmQDHCO7fxMMG6Zw,210000,4,Paradox,Erica
0.679,0.718,8,-8.076,0,0.0405,0.282,0.886,0.281,0.287,117.028,6ap5AekhAt3k6e0zAknDyV,214853,3,Bunny,Erica
0.416,0.248,10,-14.62,1,0.14,0.647,0.427,0.113,0.134,161.667,1wTopxO5eQBpxrBXPSbsUn,433916,4,A&W,Erica
0.709,0.662,5,-9.172,1,0.426,0.486,4.15e-5,0.0891,0.413,87.009,6JQVyfBbxnvagi8wM2w3Qw,216738,4,Scars,Erica
0.81,0.41,11,-6.087,0,0.2,0.688,0,0.124,0.821,97.918,7J7F98kmOqMNwCt72Xm0q1,188987,4,Floatin',Erica
0.885,0.365,6,-14.107,1,0.263,0.00112,0,0.264,0.637,100.048,4U5ovGD4My7MOISvUEtYaf,135013,4,Campfire,Erica
0.962,0.563,2,-6.372,1,0.246,0.184,0,0.059,0.899,131.023,6U9OkV9oa8kN8LyBGf3wvJ,117307,4,BLACKJACK,Erica
0.816,0.754,2,-5.922,1,0.152,0.163,0.00199,0.105,0.704,92.023,0ipgd8PPFza3NNmN3Rn2uF,125217,4,SUNDOWN,Erica
0.596,0.607,6,-6.179,0,0.168,0.33,0,0.103,0.531,119.882,5MWXOo8DJwgODtPGaietNz,120666,4,cinderella's dead,Erica
0.531,0.809,5,-6.738,1,0.336,0.327,0.0153,0.0734,0.773,76.957,3GI3DlwrqMKzkN0iGR3PEj,258280,4,Sagaba,Erica
0.491,0.725,6,-4.915,0,0.11,0.0491,1.91e-5,0.176,0.761,168.144,1Ol7rmDYnjXadnWaEvY9em,219147,4,Adonis - feat. KIRBY,Erica
0.811,0.452,7,-8.676,1,0.115,0.162,0.00305,0.12,0.556,121.058,0BWBqb5XxraObLopqskk6D,199006,4,Feels Right,Erica
0.722,0.53,9,-10.673,0,0.118,0.0846,0.822,0.0778,0.846,103.961,42AsgO0005lineLVc1aSOL,157333,4,Sunny,Erica
0.45,0.89,1,-6.056,0,0.108,0.0175,0.00783,0.172,0.409,150.992,0vOJBOg4bqd5PSY8k4DYny,190884,4,Did You Come?,Erica
0.783,0.515,10,-9.194,0,0.178,0.0196,9.97e-6,0.128,0.502,122.041,7vq5i7XNFT5TUBv6OttBpo,153652,4,Bittersweet,Erica
0.629,0.479,10,-10.608,1,0.0271,0.22,0,0.0587,0.345,138.231,7puxIVNdj5nsBJk43zM3bH,232427,4,Carrying Your Love With Me,Erica
0.397,0.348,6,-8.322,1,0.0281,0.224,4.44e-6,0.126,0.297,140.786,5loHd8KKK93wxEOkgGU12Q,231673,4,Jesse,Erica
0.814,0.435,7,-8.422,1,0.0684,0.814,1.62e-6,0.105,0.416,98.049,2MOsa4NltIx6KhJPaDhWAl,187253,4,Delilah,Erica
0.677,0.541,6,-6.057,0,0.0571,0.48,0,0.125,0.379,103.369,1DOgkaR5Gqa8JtPEIbQORC,205276,4,Over,Erica
0.611,0.626,7,-5.087,1,0.0778,0.337,0,0.115,0.48,100.129,06dQ2rcBkq7z3AEZ4jhvc2,156073,4,Pray It Away,Erica
0.497,0.477,2,-7.285,0,0.116,0.373,0,0.114,0.389,121.524,2cue4DdCwO7himRLESpWk5,281013,4,Tell Me It's Over (feat. Summer Walker & 6LACK),Erica
0.736,0.642,1,-7.341,1,0.0406,0.111,5.19e-4,0.0926,0.34,123.02,2Yp20FZndUt36hb0NJHZI8,185389,4,Strings Attached,Erica
0.607,0.767,5,-6.069,0,0.0474,0.118,0,0.122,0.662,123.998,3rb0tMq42WfggucPm0HHkA,148629,3,Bad Memories (feat. Elley Duhé & FAST BOY),Erica
0.68,0.321,5,-10.944,1,0.0376,0.791,4.67e-6,0.125,0.416,110.827,6aommJFM8i3iT4inKuDSXh,215986,4,Chachachá,Erica
0.876,0.42,0,-18.246,0,0.279,0.188,0.0018600000000000001,0.0668,0.706,98.304,1962ZwEY7WNQLcmYFn3eR9,275342,4,Where I'm From,Erica
0.504,0.352,0,-9.634,0,0.0253,0.177,0.152,0.228,0.348,78.171,7M9Bru9dH3gHSmx6c7bo7j,355434,3,Come on and Go with Me,Erica
0.644,0.688,6,-4.407,1,0.108,0.354,2.57e-6,0.0741,0.616,94.938,4nxMHRNNfrOZWg8NAKXnV8,206368,4,Adrenaline,Erica
