danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,user
0.685,0.72,4,-5.553,1,0.028,0.00702,0.275,0.425,0.554,133.016,audio_features,7CLIr0lZ4GWeHTaj9lNkXM,spotify:track:7CLIr0lZ4GWeHTaj9lNkXM,https://api.spotify.com/v1/tracks/7CLIr0lZ4GWeHTaj9lNkXM,https://api.spotify.com/v1/audio-analysis/7CLIr0lZ4GWeHTaj9lNkXM,201253,4,Ur Mum,7CLIr0lZ4GWeHTaj9lNkXM,Jillian
0.576,0.478,4,-8.276,1,0.0261,0.498,5.68e-5,0.124,0.266,132.028,audio_features,4U4h7WNNyvhpdaDgHSdD4j,spotify:track:4U4h7WNNyvhpdaDgHSdD4j,https://api.spotify.com/v1/tracks/4U4h7WNNyvhpdaDgHSdD4j,https://api.spotify.com/v1/audio-analysis/4U4h7WNNyvhpdaDgHSdD4j,242485,4,Here With Me,4U4h7WNNyvhpdaDgHSdD4j,Jillian
0.246,0.379,7,-5.928,1,0.0323,0.0293,0,0.0945,0.384,92.171,audio_features,18N9hZG0MZryxpB4H36IyP,spotify:track:18N9hZG0MZryxpB4H36IyP,https://api.spotify.com/v1/tracks/18N9hZG0MZryxpB4H36IyP,https://api.spotify.com/v1/audio-analysis/18N9hZG0MZryxpB4H36IyP,222818,4,Bobby,18N9hZG0MZryxpB4H36IyP,Jillian
0.667,0.477,0,-14.644,0,0.0911,0.93,0.815,0.143,0.0548,94.267,audio_features,0ffiD4SYlHEifVwzBdPqd7,spotify:track:0ffiD4SYlHEifVwzBdPqd7,https://api.spotify.com/v1/tracks/0ffiD4SYlHEifVwzBdPqd7,https://api.spotify.com/v1/audio-analysis/0ffiD4SYlHEifVwzBdPqd7,183507,4,god's chariots,0ffiD4SYlHEifVwzBdPqd7,Jillian
0.839,0.585,2,-7.738,1,0.153,0.478,0.00281,0.0435,0.89,89.821,audio_features,1DrlLvlYd1FIjNavRm6NdX,spotify:track:1DrlLvlYd1FIjNavRm6NdX,https://api.spotify.com/v1/tracks/1DrlLvlYd1FIjNavRm6NdX,https://api.spotify.com/v1/audio-analysis/1DrlLvlYd1FIjNavRm6NdX,181260,4,Back Pocket,1DrlLvlYd1FIjNavRm6NdX,Jillian
0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-5,0.134,0.826,125.276,audio_features,2BY7ALEWdloFHgQZG6VMLA,spotify:track:2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/tracks/2BY7ALEWdloFHgQZG6VMLA,https://api.spotify.com/v1/audio-analysis/2BY7ALEWdloFHgQZG6VMLA,186827,4,Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA,Jillian
0.692,0.613,2,-10.735,1,0.0282,0.0407,0.0652,0.094,0.93,120.901,audio_features,19P4fwkPhE6yVAXApFWDoF,spotify:track:19P4fwkPhE6yVAXApFWDoF,https://api.spotify.com/v1/tracks/19P4fwkPhE6yVAXApFWDoF,https://api.spotify.com/v1/audio-analysis/19P4fwkPhE6yVAXApFWDoF,210533,4,A Life of Illusion,19P4fwkPhE6yVAXApFWDoF,Jillian
0.631,0.354,1,-11.112,1,0.0313,0.795,1.07e-4,0.0879,0.522,73.007,audio_features,0s1aSsYlLIEiy16LjFWbdp,spotify:track:0s1aSsYlLIEiy16LjFWbdp,https://api.spotify.com/v1/tracks/0s1aSsYlLIEiy16LjFWbdp,https://api.spotify.com/v1/audio-analysis/0s1aSsYlLIEiy16LjFWbdp,188693,4,Dirty Work,0s1aSsYlLIEiy16LjFWbdp,Jillian
0.886,0.371,5,-10.542,1,0.0465,0.349,0.00138,0.0985,0.928,115.026,audio_features,6PuoZT4kgw5DrUEdnQ6e01,spotify:track:6PuoZT4kgw5DrUEdnQ6e01,https://api.spotify.com/v1/tracks/6PuoZT4kgw5DrUEdnQ6e01,https://api.spotify.com/v1/audio-analysis/6PuoZT4kgw5DrUEdnQ6e01,219261,4,This Must Be The Place,6PuoZT4kgw5DrUEdnQ6e01,Jillian
0.483,0.476,1,-12.326,1,0.0661,0.677,0.141,0.0789,0.259,119.401,audio_features,74Ayied2Y9gzsKeORkSIgS,spotify:track:74Ayied2Y9gzsKeORkSIgS,https://api.spotify.com/v1/tracks/74Ayied2Y9gzsKeORkSIgS,https://api.spotify.com/v1/audio-analysis/74Ayied2Y9gzsKeORkSIgS,238099,4,Mistakes,74Ayied2Y9gzsKeORkSIgS,Jillian
